USO,GLD,SPY,QQQ
88.87999725341797,125.33000183105469,259.6454162597656,175.18858337402344
88.87999725341797,125.18000030517578,259.58245849609375,175.42767333984375
85.12000274658203,125.83000183105469,259.12420654296875,174.413818359375
87.04000091552734,126.5999984741211,260.1934509277344,175.4468994140625
87.5199966430664,126.55999755859375,259.90594482421875,174.70074462890625
86.4800033569336,126.4800033569336,260.0047912597656,175.75294494628906
90.0,127.12000274658203,262.72723388671875,178.30691528320312
90.63999938964844,127.88999938964844,263.3202209472656,178.9764862060547
94.80000305175781,131.11000061035156,265.8361511230469,180.6407928466797
95.76000213623047,131.97999572753906,265.4497985839844,180.37295532226562
96.08000183105469,133.94000244140625,265.1247253417969,180.3787384033203
96.0,134.1999969482422,262.5244140625,177.2823028564453
98.31999969482422,132.97000122070312,262.2624816894531,178.10678100585938
98.31999969482422,132.83999633789062,263.19244384765625,178.78741455078125
96.31999969482422,133.1999969482422,264.546875,179.0174560546875
98.23999786376953,130.6199951171875,266.948486328125,181.4332275390625
93.5999984741211,133.41000366210938,267.6437683105469,182.15219116210938
94.16000366210938,133.6300048828125,269.7835998535156,183.52308654785156
95.5999984741211,132.13999938964844,269.47662353515625,183.1492156982422
95.44000244140625,131.2899932861328,267.99591064453125,181.86465454101562
96.31999969482422,131.75,268.3299255371094,182.7753448486328
100.23999786376953,133.8300018310547,269.612060546875,184.59677124023438
100.4000015258789,132.6999969482422,270.2440185546875,184.4625701904297
100.16000366210938,133.52999877929688,271.4539489746094,185.52667236328125
98.4000015258789,133.52999877929688,271.544189453125,186.1210479736328
96.55999755859375,132.39999389648438,270.6684875488281,185.16233825683594
94.0,134.5800018310547,268.82647705078125,184.2516632080078
92.4800033569336,136.47999572753906,269.8106994628906,184.4625701904297
93.36000061035156,134.47000122070312,268.3118591308594,183.11085510253906
93.44000244140625,134.4499969482422,268.9710388183594,184.56805419921875
94.4800033569336,133.69000244140625,270.89410400390625,185.77590942382812
92.72000122070312,134.3699951171875,272.1672668457031,187.0796356201172
92.80000305175781,133.4199981689453,270.8670349121094,185.30612182617188
93.19999694824219,133.63999938964844,272.68182373046875,187.21385192871094
94.55999755859375,134.52999877929688,272.18524169921875,186.57154846191406
96.63999938964844,134.97999572753906,271.51715087890625,185.76634216308594
96.31999969482422,133.2100067138672,268.546630859375,183.19717407226562
90.4800033569336,136.41000366210938,266.2081604003906,182.2864532470703
91.83999633789062,135.88999938964844,264.2037353515625,179.6022491455078
90.95999908447266,137.7899932861328,256.25830078125,173.25601196289062
89.12000274658203,138.91000366210938,259.85174560546875,175.68141174316406
86.72000122070312,141.02000427246094,260.00531005859375,176.63047790527344
87.68000030517578,141.72999572753906,265.1065979003906,180.47462463378906
90.23999786376953,141.25999450683594,263.3008728027344,178.77781677246094
90.87999725341797,142.6300048828125,260.0956726074219,176.72630310058594
94.95999908447266,141.77999877929688,264.1405334472656,180.5992431640625
91.5199966430664,142.75,256.33056640625,175.20204162597656
90.80000305175781,143.6999969482422,257.0076599121094,175.00076293945312
91.19999694824219,142.77999877929688,260.79986572265625,177.80955505371094
93.27999877929688,141.11000061035156,263.94189453125,180.6375732421875
93.04000091552734,142.2100067138672,261.9194030761719,179.23789978027344
92.87999725341797,141.75999450683594,264.05023193359375,180.829345703125
92.23999786376953,141.39999389648438,263.9689636230469,180.24453735351562
89.5199966430664,144.1699981689453,257.18829345703125,174.5406036376953
89.44000244140625,144.19000244140625,260.0323181152344,177.17686462402344
91.36000061035156,145.57000732421875,259.0120849609375,176.80299377441406
93.12000274658203,145.16000366210938,260.8359069824219,177.43568420410156
94.23999786376953,144.1199951171875,264.167724609375,180.1486358642578
91.68000030517578,143.75,264.05023193359375,179.71728515625
89.76000213623047,145.75,262.5062255859375,177.97250366210938
93.68000030517578,146.66000366210938,265.4858703613281,180.5417022705078
93.5999984741211,143.13999938964844,268.8988037109375,183.8490447998047
94.16000366210938,141.9199981689453,269.1064453125,183.66690063476562
96.63999938964844,141.38999938964844,269.2418212890625,183.28343200683594
95.83999633789062,140.17999267578125,269.1786804199219,182.7561798095703
93.44000244140625,141.02999877929688,271.0928039550781,184.47210693359375
91.76000213623047,141.32000732421875,272.03173828125,185.23904418945312
91.5199966430664,140.14999389648438,271.85125732421875,184.57762145996094
102.63999938964844,141.32000732421875,271.0115661621094,183.75315856933594
98.31999969482422,141.60000610351562,271.6977233886719,184.63511657714844
96.80000305175781,140.7100067138672,271.86029052734375,184.55845642089844
97.5199966430664,141.27999877929688,271.84222412109375,184.86521911621094
97.5999984741211,142.9499969482422,270.55780029296875,182.9095916748047
97.68000030517578,143.75,270.49420166015625,182.99026489257812
95.19999694824219,144.50999450683594,268.37176513671875,180.55999755859375
94.4000015258789,141.8300018310547,269.95916748046875,182.58682250976562
94.4000015258789,141.7899932861328,269.396728515625,181.91436767578125
93.27999877929688,141.05999755859375,267.94549560546875,179.6570587158203
90.72000122070312,138.8699951171875,269.1882019042969,181.36685180664062
89.5199966430664,139.6300048828125,265.9862365722656,179.88760375976562
